DATA TYPE EDGES:
('bag:VoorkomenLVBAG', 'bag:tijdstipEindRegistratieLV', 'xsd:dateTime')
('bag:OpenbareRuimte', 'bag:documentnummer', 'xsd:string')
('bag:Voorkomen', 'bag:eindGeldigheid', 'xsd:date')
('bag:OpenbareRuimte', 'bag:documentdatum', 'xsd:date')
('bag:Provincie', 'bag:identificatie', 'xsd:integer')
('bag:VoorkomenLV', 'bag:tijdstipEindRegistratieLV', 'xsd:dateTime')
('bag:Ligplaats', 'bag:identificatie', 'xsd:string')
('bag:HistorieInOnderzoek', 'bag:eindGeldigheid', 'xsd:dateTime')
('bag:VoorkomenLV', 'bag:beeindigd', 'xsd:boolean')
('bag:Pand', 'bag:identificatie', 'xsd:string')
('bag:Voorkomen', 'bag:beginGeldigheid', 'xsd:date')
('bag:HistorieInOnderzoek', 'bag:tijdstipRegistratie', 'xsd:dateTime')
('bag:KenmerkVerblijfsobjectInOnderzoek', 'bag:identificatieVanVerblijfsobject', 'xsd:string')
('bag:VoorkomenLV', 'bag:beginGeldigheid', 'xsd:date')
('bag:VoorkomenLV', 'bag:tijdstipRegistratie', 'xsd:dateTime')
('bag:VoorkomenLVBAG', 'bag:beginGeldigheid', 'xsd:date')
('bag:HistorieInOnderzoek', 'bag:eindRegistratie', 'xsd:dateTime')
('bag:Woonplaats', 'bag:identificatie', 'xsd:string')
('bag:Pand', 'bag:documentdatum', 'xsd:date')
('bag:KenmerkOpenbareruimteInOnderzoek', 'bag:identificatieVanOpenbareruimte', 'xsd:string')
('bag:Nummeraanduiding', 'bag:huisnummer', 'xsd:integer')
('bag:Woonplaats', 'bag:documentdatum', 'xsd:date')
('bag:Nummeraanduiding', 'bag:postcode', 'xsd:string')
('bag:KenmerkVerblijfsobjectInOnderzoek', 'bag:documentnummer', 'xsd:string')
('bag:Verblijfsobject', 'bag:documentnummer', 'xsd:string')
('bag:Woonplaats', 'bag:documentnummer', 'xsd:string')
('bag:VoorkomenLV', 'bag:tijdstipInactiefLV', 'xsd:dateTime')
('bag:KenmerkOpenbareruimteInOnderzoek', 'bag:documentnummer', 'xsd:string')
('bag:Nummeraanduiding', 'bag:documentdatum', 'xsd:date')
('bag:KenmerkLigplaatsInOnderzoek', 'bag:documentnummer', 'xsd:string')
('bag:VerkorteNaamOpenbareRuimte', 'bag:verkorteNaam', 'xsd:string')
('bag:Woonplaats', 'bag:naam', 'xsd:string')
('bag:Standplaats', 'bag:documentnummer', 'xsd:string')
('bag:KenmerkStandplaatsInOnderzoek', 'bag:identificatieVanStandplaats', 'xsd:string')
('bag:VoorkomenLV', 'bag:tijdstipNietBAG', 'xsd:dateTime')
('bag:Nummeraanduiding', 'bag:documentnummer', 'xsd:string')
('bag:KenmerkWoonplaatsInOnderzoek', 'bag:documentdatum', 'xsd:date')
('bag:Provincie', 'bag:afkorting', 'xsd:string')
('bag:VoorkomenLVBAG', 'bag:tijdstipRegistratieLV', 'xsd:dateTime')
('bag:KenmerkNummeraanduidingInOnderzoek', 'bag:identificatieVanNummeraanduiding', 'xsd:string')
('bag:KenmerkStandplaatsInOnderzoek', 'bag:documentdatum', 'xsd:date')
('bag:KenmerkWoonplaatsInOnderzoek', 'bag:identificatieVanWoonplaats', 'xsd:string')
('bag:Standplaats', 'bag:identificatie', 'xsd:string')
('bag:Voorkomen', 'bag:tijdstipRegistratie', 'xsd:dateTime')
('bag:Nummeraanduiding', 'bag:identificatie', 'xsd:string')
('bag:KenmerkNummeraanduidingInOnderzoek', 'bag:documentdatum', 'xsd:date')
('bag:KenmerkOpenbareruimteInOnderzoek', 'bag:documentdatum', 'xsd:date')
('bag:Nummeraanduiding', 'bag:huisnummertoevoeging', 'xsd:string')
('bag:Gemeente', 'bag:identificatie', 'xsd:string')
('bag:OpenbareRuimte', 'bag:naam', 'xsd:string')
('bag:Ligplaats', 'bag:documentnummer', 'xsd:string')
('bag:KenmerkWoonplaatsInOnderzoek', 'bag:documentnummer', 'xsd:string')
('bag:VoorkomenLV', 'bag:eindGeldigheid', 'xsd:date')
('bag:Voorkomen', 'bag:versie', 'xsd:integer')
